"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-23 ~ 2025-07-22"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"24","경기도 양평군 양평읍 백안리","3**","단독","8m미만","87.20","393.00","202507","20","22,500","개인","개인","2005","백안길44번길","-","중개거래","경기 양평군"
"25","강원특별자치도 속초시 도문동","3**","단독","8m미만","79.48","203.00","202507","20","16,000","개인","개인","1982","설악산로470번길","-","중개거래","강원 속초시"
"26","전라남도 순천시 대룡동","5**","단독","8m미만","66.84","254.00","202507","20","12,500","개인","개인","2004","오룡길","-","중개거래","전남 순천시"
"27","경기도 안산시 단원구 대부남동","1***","단독","8m미만","113.88","467.00","202507","20","44,718","개인","개인","2019","아랫말길","-","중개거래","경기 안산시 단원구"
"28","경상북도 영천시 신녕면 화성리","3**","단독","8m미만","98.28","365.00","202507","20","24,300","개인","개인","2020","화성중앙길","-","중개거래","울산 남구"
"29","대전광역시 중구 오류동","1**","단독","8m미만","155.68","176.00","202507","19","39,000","개인","개인","1980","계룡로816번길","-","중개거래","대전 중구"
"30","충청남도 서천군 한산면 동지리","9*","단독","8m미만","134.79","489.00","202507","19","1,600","개인","개인","1935","종단길471번길","-","직거래","-"
"31","경상북도 경주시 안강읍 노당리","1***","단독","8m미만","104.50","136.00","202507","19","3,700","개인","개인","1960","남산마을길","-","중개거래","경북 포항시 북구"
"32","전북특별자치도 고창군 상하면 검산리","7**","단독","8m미만","99.72","599.00","202507","19","10,500","개인","개인","2012","원두길","-","중개거래","전북 고창군"
"33","대구광역시 수성구 만촌동","1***","단독","8m미만","124.52","107.00","202507","19","40,000","개인","개인","2018","달구벌대로511길","-","중개거래","대구 동구"
"34","충청남도 부여군 규암면 외리","2**","단독","25m미만","84.67","171.00","202507","19","11,800","개인","개인","1978","계백로","-","중개거래","충남 부여군"
"35","광주광역시 남구 양림동","9*","단독","8m미만","71.94","156.00","202507","19","13,500","개인","개인","1980","양림로","-","중개거래","광주 남구"
"36","경기도 파주시 파평면 장파리","3**","단독","8m미만","34.81","351.00","202507","19","16,000","개인","개인","1999","장마루7길","-","중개거래","경기 고양시 덕양구, 경기 파주시"
"37","경상남도 양산시 삼호동","1**","단독","12m미만","96.27","175.50","202507","19","22,915","개인","개인","2017","대운9길","-","중개거래","경남 양산시"
"38","전라남도 여수시 학동","2**","단독","12m미만","283.74","265.30","202507","19","64,000","개인","개인","2004","시청서4길","-","중개거래","전남 여수시"
"39","경상남도 거제시 사등면 창호리","1**","단독","8m미만","47.55","132.00","202507","19","7,300","개인","개인","2012","가조로14길","-","중개거래","경남 거제시"
"40","울산광역시 남구 야음동","3**","단독","8m미만","151.92","137.60","202507","19","30,000","개인","개인","1989","처용로26번길","-","중개거래","울산 남구"
"41","경기도 양평군 강하면 동오리","5**","단독","12m미만","131.29","529.00","202507","19","38,900","개인","개인","2018","강하1로","-","중개거래","경기 양평군"
"42","부산광역시 수영구 망미동","4**","단독","25m이상","138.25","115.80","202507","19","32,000","개인","개인","1980","과정로","-","중개거래","부산 수영구"
"43","충청남도 홍성군 홍성읍 오관리","5**","단독","8m미만","57.19","171.70","202507","19","9,000","개인","개인","1974","문화로90번길","-","중개거래","충남 홍성군"
"44","경상남도 산청군 차황면 장위리","9**","단독","8m미만","68.30","302.00","202507","19","1,500","개인","개인","1950","궁소길","-","직거래","-"
"45","경상남도 밀양시 상남면 마산리","1***","단독","8m미만","131.53","394.00","202507","18","14,850","개인","개인","1992","무량원길","-","중개거래","경남 밀양시"
"46","강원특별자치도 강릉시 옥계면 남양리","6**","단독","8m미만","94.47","661.00","202507","18","18,000","개인","개인","1996","평촌길","-","직거래","-"
"47","전북특별자치도 전주시 완산구 중화산동2가","7**","다가구","8m미만","537.32","300.70","202507","18","86,500","개인","개인","2012","메너머3길","-","중개거래","전북 전주시 덕진구, 전북 전주시 완산구"
"48","울산광역시 북구 무룡동","3**","단독","8m미만","167.87","257.00","202507","18","8,200","개인","개인","1974","달곡1길","-","직거래","-"
"49","강원특별자치도 인제군 북면 원통리","1**","단독","8m미만","92.70","661.00","202507","18","13,000","개인","개인","2015","어두원길","-","중개거래","강원 인제군"
"50","강원특별자치도 인제군 북면 원통리","1***","단독","25m미만","598.27","664.30","202507","18","45,000","개인","개인","1998","원통로","-","중개거래","강원 인제군"
"51","경기도 양평군 용문면 덕촌리","2**","단독","8m미만","27.70","1230.00","202507","18","20,000","개인","개인","1956","용문산로","-","직거래","-"
"52","충청남도 천안시 서북구 성정동","6**","다가구","12m미만","659.08","422.10","202507","18","120,000","개인","개인","2011","성정9길","-","중개거래","충남 천안시 서북구"
"53","전라남도 영광군 염산면 축동리","9**","단독","8m미만","60.40","764.00","202507","18","4,000","개인","개인","1987","봉덕로4길","-","직거래","-"
"54","충청북도 괴산군 칠성면 사평리","3**","단독","8m미만","113.32","400.00","202507","18","10,500","개인","개인","2016","사곡길","-","직거래","-"
"55","충청북도 영동군 학산면 봉소리","1***","단독","8m미만","84.26","261.00","202507","18","2,000","개인","개인","2001","압치1길","-","직거래","-"
"56","경상남도 창녕군 계성면 명리","1***","단독","8m미만","39.67","687.00","202507","18","4,500","개인","개인","1952","월평1길","-","직거래","-"
"57","경상북도 안동시 와룡면 산야리","1***","단독","8m미만","53.50","655.00","202507","18","9,000","개인","개인","1903","산골안길","-","중개거래","경북 안동시"
"58","경상북도 울진군 평해읍 거일리","1**","단독","8m미만","23.90","33.00","202507","18","2,000","개인","개인","1946","기알길","-","직거래","-"
"59","충청남도 부여군 충화면 청남리","1**","단독","8m미만","183.98","360.00","202507","18","8,800","개인","개인","1999","충신로266번길","-","직거래","-"
"60","충청남도 부여군 옥산면 봉산리","*","단독","8m미만","100.54","972.00","202507","18","27,000","개인","개인","2019","옥산북로","-","직거래","-"
"61","전라남도 담양군 담양읍 객사리","7*","단독","8m미만","52.50","212.00","202507","18","10,993","공공기관","개인","1983","객사4길","-","중개거래","전남 담양군"
"62","전라남도 담양군 담양읍 향교리","2**","단독","8m미만","42.39","284.00","202507","18","14,963","공공기관","개인","1973","서원길","-","중개거래","전남 담양군"
"63","인천광역시 중구 운서동","2***","다가구","12m미만","393.09","267.50","202507","18","80,000","개인","개인","2013","운서3로안길","-","직거래","-"
"64","제주특별자치도 제주시 조천읍 교래리","2**","단독","8m미만","71.86","180.00","202507","18","3,100","법인","개인","2001","남조로","-","직거래","-"
"65","전라남도 신안군 흑산면 사리","3**","단독","8m미만","76.64","595.00","202507","18","1,440","개인","개인","2008","흑산일주로","-","중개거래","전남 담양군"
"66","전북특별자치도 장수군 번암면 동화리","4**","단독","8m미만","128.45","270.00","202507","18","5,000","법인","개인","1995","","-","중개거래","서울 용산구"
"67","전북특별자치도 진안군 안천면 노성리","1***","단독","12m미만","98.40","380.60","202507","18","9,000","개인","개인","2008","보한길","-","직거래","-"
"68","전북특별자치도 전주시 덕진구 덕진동1가","1***","단독","8m미만","115.59","287.30","202507","18","15,000","개인","개인","1978","사평1길","20250718","직거래","-"
"69","전북특별자치도 전주시 덕진구 덕진동1가","1***","단독","8m미만","115.59","287.30","202507","18","12,000","개인","개인","1978","사평1길","-","직거래","-"
"70","경기도 화성시 매송면 어천리","3*","단독","8m미만","66.51","183.00","202507","18","20,000","개인","개인","2008","어사로","-","중개거래","경기 화성시"
"71","경상남도 창원시 마산회원구 구암동","2**","단독","12m미만","221.05","247.50","202507","18","27,500","개인","개인","1982","구암북19길","-","중개거래","경남 창원시 마산회원구"
"72","충청남도 서산시 음암면 부산리","9**","단독","-","173.60","440.10","202507","18","48,000","개인","법인","2024","진동길","-","직거래","-"
"73","전북특별자치도 전주시 완산구 삼천동1가","5**","단독","12m미만","248.93","222.10","202507","18","26,400","개인","개인","","송정1길","-","중개거래","전북 전주시 완산구"
"74","부산광역시 기장군 일광읍 동백리","2**","단독","12m미만","84.46","250.00","202507","18","30,000","개인","개인","1970","문오성길","-","직거래","-"
"75","서울특별시 중랑구 망우동","4**","다가구","8m미만","204.81","99.80","202507","18","54,000","개인","개인","1990","상봉로20길","-","중개거래","경기 고양시 일산동구"
"76","경기도 여주시 북내면 장암리","2**","단독","8m미만","84.73","424.00","202507","18","27,000","개인","개인","2020","행골길","-","중개거래","경기 여주시"
"77","전라남도 순천시 서면 구상리","4**","단독","8m미만","57.80","274.00","202507","18","1,784","개인","개인","1935","구상길","-","직거래","-"
"78","부산광역시 서구 서대신동3가","6*","단독","8m미만","327.38","542.00","202507","17","120,000","개인","개인","1985","대신공원로","-","중개거래","부산 사하구"
"79","충청남도 서천군 비인면 선도리","2**","단독","8m미만","99.74","330.00","202507","17","12,000","개인","개인","2005","선도길1번길","-","중개거래","충남 천안시 서북구"
"80","충청남도 태안군 안면읍 중장리","1***","단독","8m미만","144.69","432.00","202507","17","22,000","개인","개인","2017","","-","직거래","-"
"81","경기도 성남시 수정구 태평동","2***","다가구","8m미만","116.27","62.50","202507","17","41,500","개인","개인","1989","남문로119번길","-","중개거래","경기 성남시 수정구"
"82","충청남도 논산시 취암동","5**","단독","8m미만","106.97","104.00","202507","17","5,000","개인","개인","1985","시민로314번길","-","직거래","-"
"83","강원특별자치도 영월군 김삿갓면 주문리","3**","단독","8m미만","83.16","420.00","202507","17","1,000","개인","개인","1993","주실길","-","중개거래","경기 수원시 영통구"
"84","전북특별자치도 군산시 미장동","3**","단독","8m미만","75.33","163.00","202507","17","6,000","개인","개인","1980","동진포길","-","직거래","-"
"85","강원특별자치도 횡성군 서원면 석화리","2**","단독","8m미만","63.86","190.00","202507","17","7,400","개인","개인","2011","월송석화로","-","중개거래","충남 천안시 서북구"
"86","대전광역시 중구 석교동","3*","단독","8m미만","52.89","142.00","202507","17","11,000","개인","개인","1969","돌다리로17번길","-","직거래","-"
"87","경상북도 영덕군 영해면 성내리","7**","단독","8m미만","83.85","215.80","202507","17","14,800","개인","개인","1997","318만세1길","-","중개거래","경북 영덕군"
"88","대구광역시 동구 내동","3**","단독","8m미만","96.10","193.00","202507","17","12,300","법인","개인","2013","내동로","-","직거래","-"
"89","경상북도 포항시 남구 연일읍 괴정리","2**","단독","8m미만","84.60","198.00","202507","17","6,300","개인","개인","1979","연일로199번길","-","직거래","-"
"90","전라남도 완도군 신지면 대곡리","7**","단독","8m미만","99.00","644.00","202507","17","14,700","개인","개인","2014","대곡길","-","직거래","-"
"91","충청북도 보은군 탄부면 구암리","4**","단독","8m미만","59.40","284.00","202507","17","2,950","개인","개인","1937","구바우길","-","중개거래","충북 보은군"
"92","전라남도 순천시 덕암동","3**","단독","8m미만","64.20","216.00","202507","17","8,800","개인","개인","1984","덕암길","-","직거래","-"
"93","경상북도 구미시 해평면 금산리","1**","단독","8m미만","39.00","239.00","202507","17","3,500","개인","개인","2008","소상길","-","직거래","-"
"94","경상북도 봉화군 상운면 가곡리","1***","단독","8m미만","48.40","665.00","202507","17","2,500","개인","개인","1950","작동길","-","직거래","-"
"95","대전광역시 중구 문화동","6**","다가구","12m미만","163.10","146.10","202507","17","31,000","개인","개인","1985","문화로","-","중개거래","대전 유성구"
"96","충청북도 보은군 탄부면 구암리","4**","단독","8m미만","59.40","284.00","202507","17","3,000","개인","개인","1993","구바우길","20250721","중개거래","충북 보은군"
"97","경상남도 통영시 정량동","2**","단독","8m미만","50.94","99.00","202507","17","4,000","개인","개인","1980","비석3길","-","중개거래","경남 통영시"
"98","충청남도 아산시 둔포면 신항리","1**","단독","8m미만","268.64","378.00","202507","17","33,700","개인","개인","2018","윤보선로336번길","-","중개거래","경기 평택시"
"99","전북특별자치도 김제시 진봉면 정당리","4**","단독","8m미만","67.20","367.00","202507","17","1,200","개인","개인","1942","갈전길","-","중개거래","전북 김제시"
"100","경기도 여주시 연양동","3**","단독","8m미만","66.75","661.00","202507","17","22,500","개인","개인","2007","연양길","-","중개거래","경기 여주시"
"101","경상남도 밀양시 상동면 고정리","4**","단독","8m미만","66.36","423.00","202507","17","15,000","개인","개인","2019","고답3길","-","직거래","-"
"102","경기도 동두천시 생연동","4**","단독","25m미만","59.90","36.00","202507","17","9,000","개인","개인","1975","평화로","-","중개거래","경기 동두천시"
"103","경상북도 의성군 다인면 신락리","1**","단독","8m미만","122.60","993.00","202507","17","2,360","개인","개인","","신락1길","-","직거래","-"
"104","전북특별자치도 익산시 용동면 대조리","4**","단독","8m미만","93.70","473.00","202507","17","8,000","개인","개인","1965","대조신왕1길","-","중개거래","전북 익산시"
"105","충청북도 충주시 동량면 용교리","6**","단독","12m미만","60.76","50.00","202507","17","1,796","개인","개인","","","-","직거래","-"
"106","경상북도 김천시 구성면 구미리","3**","단독","8m미만","71.04","512.00","202507","17","2,000","개인","개인","1961","구미1길","-","직거래","-"
"107","경기도 고양시 일산서구 대화동","2***","단독","25m미만","481.44","230.80","202507","17","90,000","개인","개인","1996","일산로636번길","-","중개거래","경기 고양시 일산서구"
"108","전라남도 해남군 계곡면 잠두리","2**","단독","8m미만","53.60","264.00","202507","17","570","개인","개인","1978","잠두길","-","직거래","-"
"109","전라남도 고흥군 대서면 남정리","5**","단독","8m미만","39.70","428.00","202507","17","2,900","개인","개인","1976","남정장전길","-","중개거래","전남 고흥군"
"110","경상남도 창원시 의창구 동읍 금산리","3*","단독","8m미만","51.58","291.00","202507","17","10,000","개인","개인","1949","동읍로670번길","-","직거래","-"
"111","전북특별자치도 전주시 완산구 서신동","8**","다가구","8m미만","326.04","204.20","202507","17","25,500","개인","개인","1998","서신천변8길","-","직거래","-"
"112","경기도 남양주시 오남읍 오남리","1**","단독","8m미만","99.00","515.00","202507","17","90,600","법인","개인","2006","진건오남로708번길","-","중개거래","경기 남양주시"
"113","경기도 안성시 양성면 동항리","7*","단독","8m미만","168.03","700.00","202507","17","60,000","법인","개인","2008","교동길","-","직거래","-"
"114","부산광역시 연제구 연산동","2***","단독","8m미만","59.50","137.20","202507","17","12,000","개인","개인","1974","쌍미천로52번길","-","직거래","-"
"115","경상북도 구미시 선산읍 화조리","5**","단독","8m미만","33.60","200.00","202507","17","3,800","개인","개인","1965","동화5길","-","중개거래","경북 구미시"
"116","충청남도 부여군 장암면 합곡리","3**","단독","12m미만","98.97","502.00","202507","17","9,000","개인","개인","1996","충절로1713번길","-","직거래","-"
"117","경기도 고양시 덕양구 현천동","2*","단독","8m미만","85.13","370.00","202507","17","70,000","개인","개인","2000","대덕로82번길","-","직거래","-"
"118","제주특별자치도 서귀포시 성산읍 고성리","5**","단독","25m미만","65.00","121.00","202507","17","8,000","개인","개인","2018","섭지코지로26번길","-","직거래","-"
"119","경상남도 통영시 도천동","4**","단독","8m미만","83.85","155.30","202507","17","3,500","개인","개인","1987","새미골1길","-","중개거래","경남 통영시"
"120","경상남도 창원시 성산구 신월동","5*","단독","12m미만","197.90","254.30","202507","17","32,000","개인","개인","1990","신사로21번길","-","중개거래","경남 창원시 성산구"
"121","전북특별자치도 완주군 삼례읍 후정리","3**","단독","8m미만","80.78","469.00","202507","16","13,000","개인","개인","1935","원후정2길","-","직거래","-"
"122","서울특별시 동대문구 전농동","*","단독","8m미만","125.39","109.00","202507","16","48,000","개인","개인","1975","한천로33가길","-","중개거래","서울 동대문구"
"123","경상북도 안동시 태화동","2**","단독","8m미만","61.04","133.30","202507","16","8,000","개인","개인","1979","서경지7길","-","직거래","-"
"124","경상남도 의령군 의령읍 무전리","5**","단독","8m미만","71.73","468.00","202507","16","4,700","개인","개인","1964","무전로4길","-","직거래","-"
"125","광주광역시 광산구 장덕동","1***","다가구","12m미만","487.14","301.60","202507","16","92,500","개인","법인","2022","장신로20번길","-","직거래","-"
"126","전라남도 영광군 염산면 신성리","3*","단독","8m미만","98.85","660.00","202507","16","20,000","개인","개인","1996","봉덕로3길","-","중개거래","전남 순천시"
"127","광주광역시 광산구 비아동","6**","단독","12m미만","209.20","177.80","202507","16","26,500","법인","법인","2003","비아안길","-","중개거래","광주 광산구"
"128","경상남도 거제시 장목면 농소리","7**","단독","8m미만","32.03","278.00","202507","16","3,000","개인","개인","1920","농소길","-","직거래","-"
"129","경상남도 밀양시 상남면 예림리","9**","단독","8m미만","67.00","106.00","202507","16","4,500","개인","개인","2001","예림2안길","-","직거래","-"
"130","경상남도 창원시 성산구 신월동","5*","단독","12m미만","244.14","255.10","202507","16","53,000","개인","개인","2010","신월로6번길","-","중개거래","경남 창원시 성산구, 경남 창원시 의창구"
"131","서울특별시 성북구 장위동","3**","다가구","8m미만","297.75","139.00","202507","16","68,600","개인","개인","1989","월계로40길","-","중개거래","서울 성북구"
"132","제주특별자치도 제주시 도평동","2**","단독","8m미만","191.37","538.00","202507","16","80,000","개인","개인","2021","곱은이길","20250718","중개거래","제주 제주시"
"133","전라남도 담양군 금성면 원천리","1**","단독","8m미만","64.40","277.00","202507","16","1,800","개인","개인","1965","시암골로","-","직거래","-"
"134","광주광역시 동구 선교동","2**","단독","8m미만","20.16","295.30","202507","16","15,000","개인","개인","1900","선교로","-","직거래","-"
"135","서울특별시 도봉구 창동","5**","단독","8m미만","65.89","115.40","202507","16","37,000","개인","법인","1973","덕릉로59마길","-","중개거래","서울 도봉구"
"136","전라남도 화순군 화순읍 교리","1**","단독","8m미만","137.70","323.00","202507","16","16,700","법인","개인","1950","교동2길","-","직거래","-"
"137","서울특별시 노원구 중계동","2*","단독","8m미만","25.00","32.00","202507","16","48,000","개인","개인","1988","중계로4나길","-","중개거래","서울 송파구"
"138","인천광역시 남동구 만수동","1**","단독","8m미만","65.60","41.00","202507","16","6,350","개인","개인","1994","서판로64번길","-","중개거래","인천 남동구"
"139","전북특별자치도 무주군 적상면 사산리","4**","단독","8m미만","72.06","436.00","202507","16","2,700","개인","개인","1945","마산평촌길","-","직거래","-"
"140","전북특별자치도 전주시 덕진구 덕진동1가","1***","단독","8m미만","115.59","287.30","202507","16","12,000","개인","개인","1978","사평1길","20250718","직거래","-"
"141","전라남도 완도군 완도읍 군내리","7**","단독","8m미만","72.20","119.00","202507","16","6,000","개인","개인","2000","청해진남로35번길","-","직거래","-"
"142","경상북도 경주시 효현동","*","단독","8m미만","79.88","344.00","202507","16","9,000","개인","개인","1935","소티길","-","직거래","-"
"143","서울특별시 동작구 사당동","1**","다가구","8m미만","321.81","165.00","202507","16","249,541","기타","개인","1993","사당로29라길","-","직거래","-"
"144","경기도 화성시 남양읍 안석리","2**","단독","8m미만","164.75","398.00","202507","16","30,460","개인","개인","2014","안석길111번길","20250717","중개거래","경기 화성시"
"145","경기도 화성시 남양읍 안석리","2**","단독","8m미만","164.75","398.00","202507","16","32,735","개인","개인","2014","안석길111번길","-","중개거래","경기 화성시"
"146","부산광역시 동구 좌천동","6*","단독","8m미만","15.50","9.30","202507","16","3,640","개인","개인","1984","성남이로13번길","-","직거래","-"
"147","전북특별자치도 완주군 소양면 신교리","7**","단독","8m미만","229.05","934.00","202507","16","17,000","개인","개인","1995","행단길","-","직거래","-"
"148","경상북도 구미시 해평면 문량리","2**","단독","8m미만","71.40","413.00","202507","16","11,500","개인","개인","1979","문량4길","-","직거래","-"
"149","전북특별자치도 남원시 이백면 효기리","6**","단독","8m미만","94.02","208.00","202507","16","4,000","개인","개인","1961","효기1길","-","직거래","-"
"150","전북특별자치도 익산시 송학동","2**","단독","8m미만","83.64","169.00","202507","16","13,500","개인","개인","1979","고현로3길","-","중개거래","전북 익산시"
"151","부산광역시 영도구 청학동","2**","단독","8m미만","28.10","55.00","202507","16","1,800","개인","개인","","청학로","-","직거래","-"
"152","전북특별자치도 익산시 용안면 창리","4**","단독","8m미만","34.00","790.00","202507","16","2,780","개인","개인","1935","자라1길","-","직거래","-"
"153","전라남도 목포시 용당동","9**","단독","8m미만","80.35","163.30","202507","16","7,500","개인","개인","1978","동목포길12번길","-","직거래","-"
"154","부산광역시 금정구 서동","5**","다가구","8m미만","114.00","43.00","202507","16","12,000","개인","개인","1992","서동로88번길","-","직거래","-"
"155","경기도 가평군 가평읍 대곡리","3**","단독","8m미만","51.40","327.00","202507","16","22,000","개인","개인","1968","석봉로77번길","20250721","중개거래","경기 가평군"
"156","경기도 가평군 가평읍 대곡리","3**","단독","8m미만","51.40","294.00","202507","16","19,862","개인","개인","1968","석봉로77번길","-","중개거래","경기 가평군"
"157","강원특별자치도 인제군 상남면 하남리","1***","단독","8m미만","78.25","427.00","202507","16","10,900","개인","개인","1996","가산동길","-","직거래","-"
"158","부산광역시 영도구 청학동","1**","단독","8m미만","123.79","145.00","202507","16","22,000","개인","개인","1900","청학북로","-","중개거래","부산 영도구"
"159","경상북도 경산시 하양읍 청천리","4**","단독","8m미만","151.06","281.00","202507","16","21,500","개인","개인","1979","청천1길","-","중개거래","경북 경산시"
"160","경상북도 의성군 다인면 신락리","2**","단독","8m미만","87.20","608.00","202507","16","10,800","개인","개인","2010","신락1길","-","직거래","-"
"161","충청남도 천안시 서북구 성정동","2**","단독","8m미만","54.50","179.00","202507","16","16,500","개인","개인","1975","서부역14길","-","중개거래","충남 천안시 서북구"
"162","전라남도 함평군 해보면 대창리","3**","단독","8m미만","106.08","731.30","202507","16","16,750","개인","개인","1978","창서길","-","직거래","-"
"163","서울특별시 관악구 신림동","6**","다가구","8m미만","252.55","132.00","202507","16","40,000","개인","개인","1993","난곡로24바길","-","중개거래","서울 관악구"
"164","강원특별자치도 철원군 갈말읍 지포리","6*","단독","8m미만","102.23","149.00","202507","16","7,500","개인","개인","1992","명성로149번길","-","직거래","-"
"165","경기도 안성시 낙원동","4**","단독","12m미만","105.98","225.00","202507","16","18,000","개인","개인","1900","중앙로440번길","-","중개거래","서울 동작구"
"166","경상북도 영덕군 축산면 축산리","1**","단독","8m미만","59.74","149.00","202507","16","4,530","개인","개인","1983","축산항1길","-","직거래","-"
"167","부산광역시 남구 감만동","1**","단독","8m미만","64.56","115.00","202507","16","13,672","개인","개인","1978","홍곡로","-","중개거래","부산 연제구"
"168","경상남도 창원시 진해구 이동","6**","단독","8m미만","199.74","207.10","202507","16","15,000","개인","개인","1995","충장로442번길","-","직거래","-"
"169","경기도 의정부시 가능동","5**","단독","8m미만","162.96","330.00","202507","16","43,000","법인","개인","2004","호국로1049번길","-","직거래","-"
"170","부산광역시 남구 문현동","9**","단독","8m미만","131.87","107.00","202507","16","69,000","법인","개인","2001","장고개로104번길","-","직거래","-"
