"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-23 ~ 2025-07-22"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"11","인천광역시 서구 심곡동","255-8","0255","0008","금호아트빌리지","55.3500","23.5000","202507","21","8,300","4","개인","개인","1994","심곡로56번길 13","-","중개거래","인천 서구","-"
"12","충청남도 아산시 권곡동","363","0363","0000","대진8","40.3200","27.3000","202507","21","3,500","1","개인","개인","1996","권곡로 48","-","중개거래","서울 중랑구","-"
"13","경기도 김포시 감정동","523-10","0523","0010","더포인트1,2동","46.1100","26.1980","202507","21","13,000","6","개인","개인","2016","중봉로58번길 34","-","직거래","-","-"
"14","경기도 오산시 고현동","37","0037","0000","오산빌리지","41.8850","45.4300","202507","21","8,500","3","개인","개인","1990","남부대로 429","-","직거래","-","-"
"15","서울특별시 강서구 화곡동","372-60","0372","0060","유림파크빌(372-60)","59.8200","33.3400","202507","21","24,500","2","개인","개인","2010","가로공원로72길 27-13","-","중개거래","서울 서초구","-"
"16","경기도 광주시 추자동","471-14","0471","0014","모두빌2차(201동)","59.6800","43.1000","202507","21","11,000","3","개인","개인","2015","오포안로 294-29","-","직거래","-","-"
"17","전북특별자치도 군산시 소룡동","837","0837","0000","남전주택","77.0000","67.9720","202507","21","3,800","3","개인","개인","1985","풍전4길 10","-","직거래","-","-"
"18","인천광역시 서구 검암동","636-5","0636","0005","더라이프","45.8200","31.5900","202507","21","13,200","3","개인","개인","2013","승학로506번길 65-59","-","직거래","-","-"
"19","대전광역시 동구 가양동","27-45","0027","0045","진성빌라(가,나동)","52.2600","29.2200","202507","21","12,000","3","개인","개인","1993","동서대로1754번길 67","-","중개거래","대전 서구","-"
"20","전라남도 목포시 용해동","281-13","0281","0013","아성전원빌라","84.8400","81.8700","202507","21","3,000","4","개인","개인","1991","안태길 46","-","직거래","-","-"
"21","대구광역시 수성구 황금동","702-5","0702","0005","골든화이트빌B","75.1300","42.1875","202507","21","22,000","5","개인","개인","2002","범어천로 23-15","-","직거래","-","-"
"22","경기도 수원시 팔달구 우만동","136-15","0136","0015","조선하이츠빌라","54.2800","32.9600","202507","21","14,000","1","개인","개인","1991","권광로348번길 12","-","직거래","-","-"
"23","인천광역시 계양구 작전동","179-8","0179","0008","삼웅빌라(1동)","36.2400","25.8700","202507","21","9,000","4","개인","법인","1991","효서로303번길 11","-","직거래","-","-"
"24","광주광역시 서구 쌍촌동","1004-10","1004","0010","가도스타디움","16.0712","13.0156","202507","21","4,300","2","개인","개인","2012","상무대로884번길 17-4","-","중개거래","광주 서구","-"
"25","부산광역시 금정구 장전동","504","0504","0000","아인빌","32.6920","19.3615","202507","21","6,200","2","개인","개인","2015","금샘로17번안길 21","-","직거래","-","-"
"26","광주광역시 서구 쌍촌동","1004-10","1004","0010","가도스타디움","16.0712","13.0156","202507","21","4,400","4","개인","개인","2012","상무대로884번길 17-4","-","중개거래","광주 서구","-"
"27","경기도 포천시 영북면 운천리","511-13","0511","0013","부광하이츠빌라","95.5500","76.6600","202507","21","7,700","3","개인","개인","1999","운천안1길 4","-","직거래","-","-"
"28","충청남도 천안시 동남구 신부동","62-28","0062","0028","천보주택(나)","45.8000","32.0000","202507","21","3,800","3","개인","개인","1990","신부8길 12","-","직거래","-","-"
"29","인천광역시 남동구 만수동","5-284","0005","0284","LG(5-284)가동","36.5300","17.1200","202507","21","10,000","4","법인","개인","2001","만수로88번길 18","-","직거래","-","-"
"30","인천광역시 남동구 만수동","6-28","0006","0028","송원(6-28)2동","36.1800","26.1250","202507","21","5,500","3","개인","개인","1991","수현로119번길 32","-","직거래","-","-"
"31","경기도 남양주시 화도읍 마석우리","219-105","0219","0105","가든시티빌(2단지)","55.1000","70.6500","202507","21","15,000","2","개인","개인","2012","마석로46번길 9","-","중개거래","경기 남양주시","-"
"32","인천광역시 계양구 효성동","511-25","0511","0025","굿모닝빌25동","39.7000","19.4500","202507","21","9,500","5","개인","법인","2003","아나지로97번길 20-1","-","직거래","-","-"
"33","서울특별시 중랑구 면목동","115-20","0115","0020","강호빌라","79.6800","63.7300","202507","20","41,000","2","개인","개인","1983","겸재로40길 25","-","중개거래","서울 중랑구","-"
"34","서울특별시 관악구 신림동","1564-65","1564","0065","원앙빌라","52.7300","21.1100","202507","20","25,500","1","개인","개인","2001","쑥고개로2라길 40","-","중개거래","서울 관악구","-"
"35","서울특별시 관악구 신림동","1564-65","1564","0065","원앙빌라","52.7300","21.1100","202507","20","25,500","1","개인","개인","2001","쑥고개로2라길 40","20250721","중개거래","서울 관악구","-"
"36","부산광역시 남구 용호동","482-15","0482","0015","무지개맨션","55.9200","51.3000","202507","20","8,500","3","개인","개인","1984","용호로198번길 28","-","직거래","-","-"
"37","울산광역시 울주군 온산읍 덕신리","295-18","0295","0018","운성빌라(나)","72.0800","42.2200","202507","20","7,550","4","개인","개인","1991","신온5길 9-9","-","중개거래","울산 울주군","-"
"38","경기도 부천시 원미구 심곡동","308-2","0308","0002","발렌시아","52.6200","31.5000","202507","20","22,850","4","개인","개인","2019","장말로271번길 12-7","-","중개거래","경기 부천시 소사구","-"
"39","충청남도 서산시 석림동","499-7","0499","0007","힐타운1동","56.6700","52.2500","202507","20","8,300","3","개인","개인","2012","석림4로 54","-","중개거래","충남 서산시","-"
"40","서울특별시 광진구 구의동","35-34","0035","0034","광진힐리버","24.5900","19.9900","202507","20","30,500","5","개인","개인","2022","자양로44다길 29-12","-","중개거래","서울 광진구, 서울 동작구","-"
"41","서울특별시 구로구 궁동","94-6","0094","0006","현대빌라103동(94-6)","48.8300","34.0110","202507","20","16,500","2","개인","개인","1997","오리로21길 31","-","중개거래","서울 구로구","-"
"42","서울특별시 중랑구 면목동","158-48","0158","0048","킴스빌","37.3700","21.5000","202507","20","40,000","2","개인","개인","2018","동일로92길 35","-","중개거래","서울 중랑구","-"
"43","인천광역시 서구 당하동","1080-20","1080","0020","거영블루힐","49.8300","29.8900","202507","20","14,500","2","개인","개인","2014","청마로 37","-","중개거래","인천 서구","-"
"44","충청남도 홍성군 홍성읍 오관리","549-7","0549","0007","성림빌라","76.1400","52.7500","202507","20","3,500","4","개인","개인","1994","충절로1053번길 105-5","-","중개거래","충남 홍성군","-"
"45","경기도 광주시 쌍령동","148-2","0148","0002","이원빌리지B동","77.1200","58.1250","202507","20","21,000","3","개인","개인","2010","경충대로 1471-21","-","중개거래","경기 광주시","-"
"46","경기도 용인시 처인구 포곡읍 전대리","171-7","0171","0007","휴스테이트빌(103동)","59.1700","42.7200","202507","19","13,000","2","개인","개인","2014","부곡로 37-2","-","중개거래","경기 용인시 처인구","-"
"47","인천광역시 서구 검암동","644-5","0644","0005","다청림101동102동","59.8300","49.2200","202507","19","15,900","2","개인","개인","2011","승학로421번길 6","-","중개거래","인천 서구","-"
"48","경기도 용인시 처인구 유방동","310-3","0310","0003","임광하이츠빌라(3동)","49.2000","29.2400","202507","19","11,500","3","개인","개인","1995","백옥대로1380번길 5-13","-","중개거래","경기 용인시 처인구","-"
"49","서울특별시 구로구 온수동","86-21","0086","0021","태영렉스빌102동","58.8600","33.1500","202507","19","18,500","4","개인","개인","2002","부일로1다길 37","-","중개거래","경기 부천시 원미구","-"
"50","경기도 부천시 원미구 춘의동","221-61","0221","0061","엘시티빌","58.9200","39.9920","202507","19","28,600","3","개인","개인","2017","부천로161번길 8","20250719","중개거래","경기 부천시 원미구","-"
"51","경기도 부천시 원미구 소사동","40-24","0040","0024","동영그린빌","43.4600","26.0460","202507","19","14,300","3","개인","개인","2008","소사로276번길 39","-","중개거래","경기 부천시 소사구","-"
"52","경기도 동두천시 생연동","466-8","0466","0008","동양주택(466-8)","64.3500","53.9183","202507","19","3,500","3","개인","개인","1983","송터로6번길 9","-","중개거래","경기 동두천시","-"
"53","서울특별시 동작구 대방동","391-6","0391","0006","신대방아트빌","47.5800","29.2300","202507","19","52,000","4","개인","개인","2002","대방동1길 6-3","-","중개거래","서울 동작구","-"
"54","서울특별시 은평구 갈현동","520-7","0520","0007","부성맨션(520-7)","66.0600","34.7200","202507","19","32,000","5","개인","개인","2002","서오릉로18길 32-1","-","중개거래","서울 은평구","-"
"55","서울특별시 구로구 구로동","744-1","0744","0001","(744-1)","35.2900","14.2260","202507","19","18,000","3","개인","개인","1996","구로동로8길 53","-","중개거래","서울 강서구, 서울 구로구","-"
"56","경기도 이천시 장호원읍 노탑리","191-69","0191","0069","한성빌라(A,B)","52.1200","30.7000","202507","19","4,000","2","개인","개인","1992","장여로85번길 42","-","직거래","-","-"
"57","서울특별시 도봉구 도봉동","593-37","0593","0037","도봉숲아뜨리움","54.5100","46.2400","202507","19","38,900","2","개인","개인","2016","도봉로167길 38","-","중개거래","서울 도봉구","-"
"58","경기도 광주시 경안동","66-1","0066","0001","현아트빌","36.8400","25.6600","202507","19","8,800","4","개인","개인","2006","중앙로154번길 14","-","중개거래","경기 광주시","-"
"59","광주광역시 광산구 수완동","937","0937","0000","수완아뜨리움연립주택","84.7694","254.8803","202507","19","43,800","1","개인","개인","2015","장덕로 160","-","중개거래","광주 광산구","-"
"60","서울특별시 서대문구 북가좌동","321-2","0321","0002","예원빌라(321-2)","50.5900","25.3040","202507","19","33,000","3","개인","개인","2002","거북골로22길 49-11","-","중개거래","서울 서대문구","-"
"61","대구광역시 서구 비산동","653","0653","0000","나래","59.3700","25.5000","202507","19","6,000","3","개인","개인","1995","북비산로67길 23","-","중개거래","대구 서구","-"
"62","서울특별시 양천구 목동","318-229","0318","0229","다나네스트빌(318-229)","66.0400","36.7940","202507","19","20,000","4","개인","개인","2007","목동중앙본로11길 24","-","중개거래","서울 양천구","-"
"63","부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","84.8950","119.6777","202507","19","40,000","2","개인","개인","2019","명지국제13로38번길 11","-","중개거래","부산 강서구","-"
"64","서울특별시 양천구 목동","231-173","0231","0173","승원빌라","41.7600","38.7300","202507","19","26,900","1","개인","개인","1988","목동중앙본로2길 46-38","-","중개거래","서울 양천구","-"
"65","경기도 안양시 만안구 석수동","293-5","0293","0005","석천빌라(2차)","36.2400","21.6600","202507","19","11,800","-1","개인","개인","1990","석천로159번길 5","-","중개거래","경기 안양시 만안구","-"
"66","인천광역시 부평구 부평동","798-21","0798","0021","상록수씨티타운(798-21)","41.0400","23.4200","202507","19","13,000","1","개인","개인","1993","길주로508번길 39-1","-","중개거래","인천 부평구","-"
"67","서울특별시 영등포구 당산동","121-245","0121","0245","스테이휴당산101동","26.8500","19.3400","202507","19","29,300","4","개인","개인","2016","버드나루로16길 7","-","중개거래","서울 영등포구","-"
"68","인천광역시 남동구 남촌동","312-8","0312","0008","장미주택(6-7동)","36.3500","24.1875","202507","19","3,100","-1","개인","개인","1991","남촌동로25번길 35","-","중개거래","인천 남동구","-"
"69","경기도 의정부시 호원동","377-3","0377","0003","리첸시아3","68.2210","32.9000","202507","19","26,000","2","개인","개인","2016","범골로35번길 16-6","-","중개거래","서울 도봉구","-"
"70","제주특별자치도 제주시 아라일동","396-28","0396","0028","이도빌리지","24.4850","49.0560","202507","19","6,700","4","개인","개인","2015","516로 3080","-","직거래","-","-"
"71","경기도 부천시 원미구 춘의동","221-61","0221","0061","엘시티빌","58.9200","39.9920","202507","19","28,600","3","개인","개인","2017","부천로161번길 8","-","중개거래","경기 부천시 원미구","-"
"72","제주특별자치도 제주시 도평동","700","0700","0000","도평메디치","72.9700","148.2500","202507","19","27,000","3","개인","개인","2016","대통길 113-1","-","중개거래","제주 제주시","-"
"73","경기도 안양시 동안구 관양동","1413-11","1413","0011","서림빌라(라동)","31.6900","21.0257","202507","19","28,700","3","개인","개인","1986","관평로358번길 17-8","-","중개거래","경기 안양시 동안구","-"
"74","서울특별시 강북구 수유동","472-322","0472","0322","반석스톤빌","54.0800","32.6800","202507","19","32,500","3","개인","개인","2016","삼양로 323-1","-","중개거래","서울 강북구","-"
"75","경기도 김포시 사우동","250-1","0250","0001","노블타운105,106동","37.6100","24.2300","202507","19","15,800","2","개인","개인","2014","봉화로 9-9","-","중개거래","경기 김포시","-"
"76","서울특별시 중랑구 신내동","410-2","0410","0002","대성빌라","49.1400","39.3800","202507","19","16,000","-1","개인","개인","1991","봉화산로54가길 4","-","중개거래","서울 중랑구","-"
"77","서울특별시 마포구 도화동","38-10","0038","0010","도화빌라","19.5400","16.5300","202507","19","75,000","4","개인","법인","2025","새창로4가길 19","-","중개거래","서울 용산구","-"
"78","제주특별자치도 제주시 오등동","1312","1312","0000","아라케이에스빌","84.2750","145.7500","202507","19","38,700","1","개인","개인","2018","오등봉길 98","-","중개거래","제주 제주시","-"
"79","충청남도 당진시 채운동","333-7","0333","0007","(333-7)","54.9300","28.8600","202507","19","3,890","5","개인","개인","2012","백암로 233-17","-","중개거래","세종, 충남 당진시","-"
"80","서울특별시 금천구 시흥동","876-11","0876","0011","한신빌A동(876-11)","53.0800","29.7000","202507","19","28,800","3","개인","개인","2014","독산로31길 31","-","중개거래","서울 금천구","-"
"81","부산광역시 금정구 부곡동","730-4","0730","0004","거성빌라2동","80.7000","59.4240","202507","19","42,500","1","개인","개인","1995","서동로57번길 20","-","중개거래","부산 금정구","-"
"82","제주특별자치도 제주시 노형동","3586","3586","0000","노형청목더웰","80.4500","96.4142","202507","19","36,000","3","개인","개인","2018","월산북길 49","-","중개거래","제주 제주시","-"
"83","서울특별시 광진구 능동","315-21","0315","0021","가든카운티101동","43.9700","24.5000","202507","19","52,500","3","개인","개인","2017","천호대로110길 108","-","중개거래","서울 광진구","-"
"84","부산광역시 수영구 광안동","166-7","0166","0007","정우","60.7300","40.0000","202507","19","22,000","3","개인","개인","1981","수영로546번길 11","-","중개거래","부산 수영구","-"
"85","서울특별시 금천구 독산동","979-8","0979","0008","지안플러스","39.9300","23.2000","202507","19","42,000","2","개인","개인","2023","독산로99길 33","-","직거래","-","-"
"86","경기도 광주시 경안동","159-3","0159","0003","(159-3)","39.0600","42.5000","202507","19","7,000","2","개인","개인","1988","문화로 98-6","-","중개거래","경기 광주시","-"
"87","경기도 김포시 대곶면 대명리","366-15","0366","0015","대명빌라A,B동","47.0600","43.4300","202507","19","6,000","1","개인","개인","2003","대곶로20번길 32-12","-","중개거래","경기 김포시","-"
"88","경상북도 경주시 용강동","1319-3","1319","0003","사랑마을빌라(106동)","67.4400","41.7420","202507","19","6,700","3","개인","개인","2002","토용길24번길 13-1","-","중개거래","경북 경주시","-"
"89","서울특별시 강동구 길동","368-3","0368","0003","강남리치빌","29.2400","19.7400","202507","18","30,000","4","개인","개인","2015","천중로44길 13","-","중개거래","서울 강동구","-"
"90","서울특별시 강남구 역삼동","783-16","0783","0016","783-16","55.3800","32.3100","202507","18","65,000","3","개인","개인","2017","언주로65길 17","-","중개거래","서울 서초구","-"
"91","서울특별시 마포구 성산동","200-225","0200","0225","동삼빌라","42.3200","23.9000","202507","18","35,000","3","개인","개인","1991","새터산4길 25","-","중개거래","서울 마포구","-"
"92","부산광역시 수영구 광안동","166-7","0166","0007","정우","55.0700","30.0000","202507","18","19,000","3","개인","개인","1981","수영로546번길 11","-","중개거래","부산 수영구","-"
"93","경기도 부천시 소사구 괴안동","130-3","0130","0003","대신맨션","28.3500","11.5600","202507","18","8,000","3","개인","개인","2000","부광로7번길 26","-","중개거래","경기 부천시 소사구","-"
"94","서울특별시 강동구 천호동","290-12","0290","0012","마르세움","12.0000","9.0600","202507","18","17,500","4","개인","개인","2012","상암로 74","-","중개거래","서울 서초구","-"
"95","경상북도 구미시 남통동","52","0052","0000","남통동미리내타운","82.8864","145.8521","202507","18","14,000","1","개인","개인","2015","선기로3길 58-27","-","중개거래","경북 구미시","-"
"96","서울특별시 마포구 망원동","338-8","0338","0008","다원","72.2000","51.4500","202507","18","26,000","1","개인","개인","2003","동교로 47-8","-","직거래","-","-"
"97","경기도 수원시 장안구 파장동","208-4","0208","0004","한성빌라","41.2800","21.8500","202507","18","11,000","2","개인","개인","1991","수일로16번길 3","-","중개거래","경기 수원시 장안구","-"
"98","대전광역시 유성구 용계동","236-16","0236","0016","(236-16)","21.0600","65.6135","202507","18","14,236","2","법인","개인","2003","용계로135번길 85-28","-","직거래","-","-"
"99","인천광역시 부평구 삼산동","67-32","0067","0032","다승프라임(116동)","46.6800","20.7500","202507","18","10,000","2","법인","개인","2002","장제로 405-11","-","중개거래","인천 부평구","-"
"100","서울특별시 성북구 정릉동","692-17","0692","0017","청덕빌라","41.3400","29.6700","202507","18","10,800","2","개인","개인","1990","솔샘로5길 21","-","중개거래","서울 성북구","-"
"101","경상북도 경주시 동천동","824-3","0824","0003","명성아트빌","74.9800","42.8125","202507","18","7,500","2","개인","개인","2001","동천로 64-9","-","직거래","-","-"
"102","경상북도 경주시 성건동","410","0410","0000","보우202동","57.1800","50.0000","202507","18","11,000","3","개인","개인","1985","동성로 7","-","중개거래","경북 경주시","-"
"103","대전광역시 중구 목동","363","0363","0000","엠스타목동타운","59.9800","54.7409","202507","18","22,100","3","개인","개인","2018","목동로56번길 15","-","중개거래","대전 중구","-"
"104","서울특별시 도봉구 쌍문동","81-86","0081","0086","트라움","65.5300","41.4700","202507","18","30,000","5","개인","개인","2017","노해로57길 42","-","중개거래","서울 도봉구","-"
"105","경기도 수원시 권선구 구운동","946-13","0946","0013","은하빌라3차A동","66.9500","42.2500","202507","18","18,000","1","개인","개인","2002","구운로57번길 12","-","중개거래","경기 수원시 권선구","-"
"106","서울특별시 양천구 목동","615-3","0615","0003","해오름타운(615-3)","29.1500","19.6600","202507","18","23,500","3","개인","개인","2016","목동중앙북로4길 12","-","중개거래","서울 양천구","-"
"107","경기도 광주시 송정동","420-5","0420","0005","태성슈퍼빌(301동)","76.9500","113.0000","202507","18","22,500","1","개인","개인","2006","중앙로346번길 19-7","-","중개거래","경기 하남시","-"
"108","서울특별시 양천구 목동","555-16","0555","0016","해피트리(555-16)","46.0400","30.2800","202507","18","23,000","2","개인","개인","2008","목동중앙북로16길 128-3","-","중개거래","서울 양천구","-"
"109","대전광역시 서구 변동","81-12","0081","0012","청암빌라","59.5200","30.2800","202507","18","5,000","1","개인","개인","1994","배재로220번길 19","-","직거래","-","-"
"110","인천광역시 계양구 귤현동","487-2","0487","0002","힐스토리","39.7200","29.6700","202507","18","12,000","5","개인","개인","2010","귤현길 43-1","-","중개거래","인천 계양구","-"
"111","경기도 부천시 원미구 원미동","189-108","0189","0108","엘지홈타운비동","58.9600","30.7000","202507","18","6,500","-1","개인","개인","2002","원미로78번길 39-11","-","중개거래","경기 부천시 원미구","-"
"112","경기도 광명시 광명동","337-2","0337","0002","동남마을라동","56.4600","40.3300","202507","18","39,000","1","개인","개인","2002","광명로832번길 11-2","-","중개거래","경기 광명시","-"
"113","경기도 광명시 광명동","729-3","0729","0003","서울파크빌리지(729-3)","45.6700","26.8100","202507","18","30,500","2","개인","개인","1994","도덕로28번안길 25-11","-","중개거래","경기 광명시","-"
"114","경기도 남양주시 화도읍 묵현리","242-35","0242","0035","강남하이츠(가,나동)","60.1200","44.0200","202507","18","9,000","2","개인","개인","1993","묵현로14번길 8","-","중개거래","경기 남양주시","-"
"115","서울특별시 서대문구 남가좌동","331-4","0331","0004","서은주택(331-4)","28.4700","17.2000","202507","18","16,300","4","개인","개인","2016","가재울로2길 28","-","중개거래","서울 관악구","-"
"116","서울특별시 동작구 흑석동","191-3","0191","0003","중앙파크빌(191-3)","41.5900","29.8700","202507","18","40,000","4","개인","개인","2015","흑석로13마길 36","-","중개거래","서울 마포구","-"
"117","경기도 평택시 팽성읍 객사리","89-4","0089","0004","중앙타운103동(89-4)","36.5200","32.6800","202507","18","5,500","2","개인","개인","1994","동서촌로129번길 31-5","-","중개거래","경기 평택시","-"
"118","서울특별시 강북구 우이동","181-2","0181","0002","우이빌라맨숀","149.9800","131.3000","202507","18","50,000","2","개인","개인","1983","삼양로173길 66","-","중개거래","서울 마포구","-"
"119","경기도 고양시 덕양구 관산동","338-55","0338","0055","기용빌라7동","35.6400","17.1000","202507","18","8,300","3","개인","개인","1991","통일로780번길 38","-","중개거래","경기 고양시 덕양구","-"
"120","경기도 광주시 능평동","102-15","0102","0015","엘리스빌(105동)","58.0200","54.6660","202507","18","18,900","4","개인","개인","2015","오포로171번길 34-14","-","중개거래","경기 광주시","-"
"121","경기도 고양시 덕양구 용두동","462-25","0462","0025","어울림빌(101동)","46.7300","57.0400","202507","18","23,000","3","개인","개인","2018","서오릉로532번길 76","20250718","중개거래","경기 고양시 덕양구","-"
"122","경기도 안양시 만안구 안양동","873-185","0873","0185","아르떼빌","27.8400","16.0700","202507","18","16,900","4","개인","개인","2014","양화로72번길 19-3","-","중개거래","경기 안양시 만안구","-"
"123","인천광역시 미추홀구 용현동","173-18","0173","0018","태원빌라(B동)","37.5300","35.2700","202507","18","8,900","2","개인","개인","1991","경인남길 130-1","-","직거래","-","-"
"124","경기도 부천시 원미구 심곡동","94-3","0094","0003","경인드림빌가동","22.5600","12.8900","202507","18","7,400","1","개인","개인","2002","부흥로373번길 66","-","직거래","-","-"
"125","경기도 안양시 만안구 안양동","784-49","0784","0049","(784-49)","30.5700","27.7600","202507","18","13,000","2","개인","개인","1988","양화로28번길 25-1","-","직거래","-","-"
"126","제주특별자치도 제주시 도평동","52-2","0052","0002","노형휴안5차","82.5227","168.5625","202507","18","40,200","3","개인","개인","2022","월산북길 43-5","-","중개거래","제주 제주시","-"
"127","제주특별자치도 제주시 도평동","7","0007","0000","청목더웰도평","66.1186","123.8062","202507","18","26,000","3","개인","개인","2017","우평로 62","-","중개거래","제주 제주시","-"
"128","인천광역시 서구 가좌동","114-75","0114","0075","창대빌라(11,12동)","36.8100","24.3500","202507","18","7,900","2","개인","개인","1991","가정로 144-8","-","중개거래","인천 서구","-"
"129","경기도 고양시 덕양구 주교동","594-18","0594","0018","훼미리타운(594-18)1동","81.8400","56.5820","202507","18","34,500","3","개인","개인","1992","고양대로1315번길 58-9","-","중개거래","경기 고양시 덕양구","-"
"130","전북특별자치도 부안군 부안읍 봉덕리","621-11","0621","0011","전원빌라(4동)","72.1600","50.8200","202507","18","5,000","2","개인","개인","1993","부풍로 127","-","중개거래","전북 부안군","-"
"131","경기도 고양시 덕양구 토당동","48-10","0048","0010","산성하이츠빌라A동","60.0600","47.6000","202507","18","39,850","2","개인","개인","1984","지도로79번길 26-8","-","중개거래","경기 고양시 덕양구","-"
"132","충청북도 증평군 증평읍 창동리","328","0328","0000","문화","48.4650","60.0000","202507","18","4,000","1","개인","개인","1983","삼보로1길 39","-","중개거래","충북 증평군","-"
"133","서울특별시 강동구 암사동","491-17","0491","0017","신주리버빌B","47.0600","29.6200","202507","18","39,000","2","개인","개인","2014","상암로 71-13","20250721","중개거래","서울 강동구","-"
"134","서울특별시 강동구 암사동","491-17","0491","0017","신주리버빌B","47.0600","29.6200","202507","18","39,000","2","개인","개인","2014","상암로 71-13","-","중개거래","서울 강동구","-"
"135","경기도 부천시 원미구 심곡동","383-8","0383","0008","프리존빌딩(쁘띠하임)","17.4100","3.6426","202507","18","4,500","8","개인","개인","2005","부일로 448","-","중개거래","경기 부천시 원미구","-"
"136","경기도 부천시 원미구 심곡동","156-4","0156","0004","은성프라자빌","30.4200","11.1300","202507","18","14,700","5","개인","개인","2011","부천로66번길 39","-","중개거래","경기 부천시 원미구","-"
"137","서울특별시 동작구 상도동","204-121","0204","0121","(204-121)","60.4600","36.4500","202507","18","70,000","4","개인","개인","2008","장승배기로5길 16-3","-","중개거래","서울 동작구","-"
"138","인천광역시 미추홀구 문학동","358-6","0358","0006","대성주택","51.1600","29.6120","202507","18","10,500","2","개인","개인","2002","소성로293번길 1","-","중개거래","인천 미추홀구","-"
"139","인천광역시 연수구 청학동","565-2","0565","0002","상상카운티","33.7800","28.9280","202507","18","13,200","2","개인","개인","2012","비류대로278번길 28-9","-","중개거래","인천 연수구","-"
