"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-23 ~ 2025-07-22"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"47","서울특별시 강동구 길동","415-16","0415","0016","청광플러스원큐브3차","17.6890","202507","18","9,300","4","개인","개인","2014","진황도로 87","-","중개거래","서울 강동구"
"48","서울특별시 강서구 마곡동","797-14","0797","0014","힐스테이트에코마곡","24.4600","202507","18","18,600","7","개인","개인","2016","공항대로 269-15","-","중개거래","서울 강서구"
"49","대구광역시 달서구 두류동","150-3","0150","0003","두류역 아이작큐브 오피스텔","23.7306","202507","18","7,500","12","개인","개인","2018","달구벌대로 1770","-","중개거래","대구 서구"
"50","서울특별시 강서구 마곡동","773-1","0773","0001","마곡역센트럴푸르지오시티","23.8700","202507","18","17,700","5","개인","개인","2016","마곡중앙6로 10","-","중개거래","서울 강서구"
"51","서울특별시 강남구 역삼동","830-41","0830","0041","네스빌","23.6800","202507","18","18,200","7","개인","개인","2004","역삼로7길 17","-","중개거래","서울 강남구"
"52","인천광역시 계양구 작전동","737-3","0737","0003","시그니엘","76.4500","202507","18","23,500","5","개인","개인","2020","아나지로 362","-","중개거래","인천 남동구"
"53","인천광역시 남동구 구월동","1608","1608","0000","신영구월지웰시티푸르지오","29.7603","202507","18","16,500","8","개인","개인","2020"," ","-","중개거래","인천 남동구, 인천 미추홀구"
"54","경기도 수원시 영통구 이의동","1338","1338","0000","광교센트럴푸르지오시티","30.2800","202507","18","19,000","10","개인","개인","2015","도청로 10","-","중개거래","경기 수원시 팔달구"
"55","세종특별자치시  어진동","656","0656","0000","푸르지오시티","23.7400","202507","18","8,500","13","개인","개인","2014","갈매로 364","-","중개거래","세종"
"56","서울특별시 강남구 역삼동","787-7","0787","0007","역삼 이스타빌","40.4200","202507","18","38,800","9","법인","개인","2011","도곡로 225","-","중개거래","서울 강남구, 서울 서초구"
"57","서울특별시 강남구 개포동","13-3","0013","0003","대청타워","31.9140","202507","18","20,500","13","개인","개인","1997","개포로 623","-","중개거래","서울 강남구"
"58","광주광역시 광산구 우산동","1608-1","1608","0001","우산동 AM-City 스카이하이","28.7664","202507","18","5,000","4","법인","개인","2014","사암로171번길 110","-","직거래","-"
"59","경기도 구리시 교문동","230-1","0230","0001","미래유탑 유블레스 시티","49.4393","202507","18","31,000","28","법인","개인","2021","경춘로 181","-","중개거래","경기 구리시"
"60","경기도 성남시 분당구 정자동","168-1","0168","0001","대림아크로텔","37.5750","202507","18","25,000","9","개인","개인","2004","성남대로 295","-","중개거래","경기 성남시 분당구"
"61","서울특별시 영등포구 당산동5가","9-2","0009","0002","당산 삼성쉐르빌","22.9500","202507","18","20,300","16","개인","개인","2013","당산로45길 1","-","중개거래","서울 영등포구"
"62","광주광역시 광산구 쌍암동","687-2","0687","0002","첨단 중해마루힐 2차 주상복합","84.9233","202507","18","25,000","12","개인","개인","2023","첨단중앙로182번길 76","-","중개거래","광주 광산구"
"63","경기도 안산시 단원구 고잔동","526-3","0526","0003","센트럴파크 그랑베르","23.2223","202507","18","9,000","25","개인","개인","2018","중앙대로 831","-","중개거래","경기 안산시 단원구"
"64","울산광역시 동구 방어동","929-7","0929","0007","동구 미소지움","79.5732","202507","18","16,000","22","개인","개인","2019","방어진순환도로 470","-","중개거래","울산 동구"
"65","경기도 하남시 망월동","1135","1135","0000","미사역마이움푸르지오시티","19.3860","202507","18","13,000","3","개인","개인","2020","미사강변남로 125","-","중개거래","경기 하남시"
"66","경기도 김포시 풍무동","863","0863","0000","풍무 메트로프라임1차","21.2500","202507","18","9,600","2","개인","개인","2020","풍무로 202","-","중개거래","경기 김포시"
"67","경기도 안산시 상록구 사동","1639","1639","0000","그랑시티자이 2차","27.2623","202507","18","14,000","9","개인","개인","2020","해양5로 17","-","중개거래","경기 안산시 상록구"
"68","경기도 김포시 풍무동","863","0863","0000","풍무 메트로프라임1차","21.2500","202507","18","9,600","4","개인","개인","2020","풍무로 202","-","중개거래","경기 김포시"
"69","경기도 파주시 와동동","1456-1","1456","0001","파주 디에이블 오피스텔","23.4100","202507","18","13,000","16","법인","개인","2021","책향기로 824","-","중개거래","경기 고양시 일산동구, 경기 파주시"
"70","서울특별시 마포구 서교동","371-7","0371","0007","엠제이더퍼스트홍대","20.5600","202507","18","29,800","16","개인","개인","2018","양화로 114","-","중개거래","서울 마포구"
"71","부산광역시 해운대구 중동","1754-2","1754","0002","롱스테이텔","17.0600","202507","18","4,000","3","개인","개인","2017"," ","-","중개거래","부산 남구"
"72","서울특별시 강서구 가양동","1479-9","1479","0009","휴먼빌","25.6400","202507","18","11,300","7","개인","개인","2004","양천로57길 9-13","-","중개거래","서울 강서구"
"73","대전광역시 중구 오류동","170-5","0170","0005","서대전역 코아루 써밋","23.4700","202507","18","10,116","2","개인","개인","2021","오류로 13-10","-","직거래","-"
"74","대전광역시 서구 탄방동","743","0743","0000","하이플러스","36.1300","202507","18","7,300","7","개인","개인","2005","둔산중로14번길 36","-","중개거래","대전 서구"
"75","경기도 용인시 처인구 역북동","745","0745","0000","용인역북 THE 럭스나인","23.9800","202507","18","11,420","4","개인","개인","2019","명지로 24","-","중개거래","경기 용인시 기흥구"
"76","경기도 부천시 원미구 심곡동","158-6","0158","0006","아크로시티뷰","63.6500","202507","17","27,358","4","개인","법인","2022"," 56","-","직거래","-"
"77","강원특별자치도 속초시 영랑동","148-9","0148","0009","설악비치리조텔","31.8800","202507","17","6,800","9","개인","개인","1991","중앙로 346","-","중개거래","강원 속초시"
"78","인천광역시 부평구 십정동","182-19","0182","0019","파크타운1차","65.6100","202507","17","18,200","8","개인","개인","2016","백운로 53","-","중개거래","인천 부평구"
"79","부산광역시 해운대구 좌동","1460-2","1460","0002","해운대 쌍용 플래티넘트윈","51.4900","202507","17","12,300","9","개인","개인","2005","양운로 88","-","중개거래","부산 해운대구"
"80","서울특별시 강남구 역삼동","825-20","0825","0020","강남역 센트럴 푸르지오 시티","24.6100","202507","17","28,800","10","개인","개인","2015"," ","-","중개거래","서울 강남구"
"81","경기도 안양시 만안구 안양동","433","0433","0000","안양 센트럴 헤센 2차","29.7365","202507","17","17,500","21","개인","개인","2021","안양로 186","-","중개거래","경기 안양시 만안구"
"82","서울특별시 강서구 등촌동","648-6","0648","0006","비원오피스텔","36.9900","202507","17","15,500","6","개인","개인","2004","공항대로 525","-","중개거래","서울 강남구"
"83","경기도 화성시 능동","1065-2","1065","0002","동탄 퍼스트빌스타","20.1500","202507","17","6,200","15","개인","개인","2014","동탄원천로 354-11","-","중개거래","경기 화성시"
"84","부산광역시 해운대구 우동","587-2","0587","0002","해운대 U-시티오피스텔","24.1500","202507","17","8,300","3","개인","개인","2018","중동1로17번길 15-11","-","중개거래","부산 해운대구"
"85","인천광역시 서구 청라동","157-15","0157","0015","커낼힐스빌","57.3424","202507","17","20,500","9","개인","개인","2017"," ","-","직거래","-"
"86","울산광역시 남구 신정동","1406-4","1406","0004","시티파라다이스 오피스텔 주건축물제1동","24.6105","202507","17","9,000","5","개인","개인","2017","남산로 386","-","중개거래","울산 남구"
"87","경기도 화성시 병점동","374-5","0374","0005","인텔리스테이","19.2097","202507","17","8,700","3","개인","개인","2017"," ","-","중개거래","경기 화성시"
"88","경기도 부천시 원미구 중동","1141-3","1141","0003","신중동역 헤리움 메트로타워","22.4547","202507","17","13,000","19","개인","개인","2018"," 284","-","중개거래","경기 부천시 원미구"
"89","경기도 수원시 장안구 율전동","300","0300","0000","율전미주타운","40.5000","202507","17","6,100","7","개인","개인","1989","율전로108번길 9","-","직거래","-"
"90","부산광역시 부산진구 전포동","890-32","0890","0032","전포 코아루 오펠리움 오피스텔","44.3500","202507","17","19,000","13","개인","개인","2019","전포대로 159","-","중개거래","부산 부산진구"
"91","경기도 용인시 처인구 역북동","754-1","0754","0001","유니버스트윈","26.4700","202507","17","13,800","9","개인","개인","2020","명지로40번길 15-9","-","중개거래","경기 용인시 처인구"
"92","경기도 김포시 구래동","6881-3","6881","0003","김포 안강 럭스나인","27.8908","202507","17","8,000","16","개인","개인","2018","김포한강9로75번길 132","-","직거래","-"
"93","경상북도 예천군 호명읍 금능리","769","0769","0000","경북도청이전신도시 트레젠웰가","22.2700","202507","17","9,980","2","개인","법인","2017"," ","-","직거래","-"
"94","서울특별시 용산구 한강로2가","420","0420","0000","용산푸르지오써밋","24.5962","202507","17","42,000","27","개인","개인","2017"," ","-","중개거래","서울 용산구"
"95","서울특별시 성동구 마장동","474-5","0474","0005","고운타워","24.1500","202507","17","12,500","6","개인","개인","2010","고산자로 345","-","중개거래","서울 성동구"
"96","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","20.0443","202507","17","15,500","11","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"97","서울특별시 구로구 구로동","44-8","0044","0008","비즈트위트 오렌지","17.7600","202507","17","9,300","11","법인","개인","2013","공원로6가길 8","-","중개거래","서울 구로구"
"98","서울특별시 마포구 성산동","590-4","0590","0004","KCC상암스튜디오380","20.3500","202507","17","14,400","5","개인","개인","2014"," ","-","중개거래","서울 마포구"
"99","경기도 시흥시 정왕동","1733-5","1733","0005","로얄퍼스트빌(녹지로 31)","24.4800","202507","17","5,330","6","개인","개인","2003","옥구공원로 189","-","중개거래","경기 시흥시"
"100","경기도 하남시 덕풍동","741","0741","0000","하남푸르지오시티","26.4005","202507","17","11,500","7","개인","개인","2013","덕풍동로 111-33","-","중개거래","경기 하남시"
"101","경기도 고양시 덕양구 화정동","986-8","0986","0008","화정대우마이빌","27.9500","202507","17","9,400","10","개인","개인","2003","백양로 59","-","중개거래","경기 고양시 덕양구"
"102","서울특별시 구로구 오류동","134-1","0134","0001","(134-1)","26.9500","202507","17","9,600","5","개인","개인","2001","오류로 86","-","중개거래","서울 구로구"
"103","세종특별자치시  어진동","656","0656","0000","푸르지오시티","22.4200","202507","17","8,250","12","개인","개인","2014","갈매로 364","-","중개거래","세종"
"104","서울특별시 송파구 문정동","652","0652","0000","송파법조타운푸르지오시티","20.4500","202507","17","20,000","8","개인","개인","2018","법원로4길 5","-","중개거래","서울 송파구"
"105","경기도 구리시 인창동","543","0543","0000","(543)","21.3400","202507","17","11,900","5","개인","개인","2018","동구릉로53번길 4","-","중개거래","경기 구리시"
"106","서울특별시 강남구 수서동","716","0716","0000","사이룩스","40.8800","202507","17","30,000","16","개인","개인","2003","광평로 295","-","중개거래","서울 강남구"
"107","서울특별시 동대문구 용두동","138-41","0138","0041","두산베어스타워","23.7900","202507","17","10,500","7","개인","개인","1998","왕산로 81","-","중개거래","서울 동대문구"
"108","경기도 안산시 단원구 고잔동","718-1","0718","0001","동남레이크빌II","21.6000","202507","17","6,950","3","개인","개인","2003","광덕1로 163","-","중개거래","경기 안산시 단원구"
"109","서울특별시 용산구 한강로2가","2-8","0002","0008","한강로벽산메가트리움","30.2900","202507","17","29,300","24","개인","개인","2005","한강대로43길 8","-","중개거래","서울 용산구"
"110","경기도 용인시 수지구 상현동","1133-1","1133","0001","골든풍산리치안","21.1200","202507","17","15,100","9","법인","개인","2017"," ","-","중개거래","경기 용인시 수지구"
"111","경기도 화성시 능동","1065-2","1065","0002","동탄 퍼스트빌스타","20.1500","202507","17","6,500","7","개인","개인","2014","동탄원천로 354-11","-","중개거래","경기 화성시"
"112","경상남도 통영시 광도면 죽림리","1570-8","1570","0008","다임 리더스빌","30.4200","202507","17","4,300","4","개인","개인","2009","죽림4로 23-96","-","중개거래","경남 통영시"
"113","경기도 안양시 동안구 관양동","1595-1","1595","0001","동우베스티움타워","75.6000","202507","17","29,000","17","개인","개인","2005","시민대로 281","-","직거래","-"
"114","부산광역시 부산진구 전포동","881-5","0881","0005","더블루 오피스텔","28.6000","202507","17","6,000","3","개인","개인","2012","전포대로171번길 26","-","중개거래","부산 부산진구"
"115","부산광역시 동구 범일동","830-140","0830","0140","동일타워","27.9300","202507","17","6,400","20","개인","개인","2014","조방로 14","-","중개거래","부산 동구"
"116","대전광역시 유성구 도룡동","4-7","0004","0007","스마트시티","105.9612","202507","17","36,500","9","개인","개인","2008","엑스포로123번길 46-15","-","중개거래","대전 유성구"
"117","대전광역시 서구 만년동","386","0386","0000","(386)","39.0000","202507","17","7,100","7","개인","개인","2002","둔산대로117번길 66","-","중개거래","대전 서구"
"118","경상북도 김천시 율곡동","811","0811","0000","영무 메트로","27.2800","202507","17","4,800","7","개인","개인","2015"," ","-","중개거래","경북 김천시"
"119","경기도 시흥시 배곧동","234","0234","0000","배곧헤리움 어반크로스 1차","21.6400","202507","17","9,000","20","개인","개인","2018","서울대학로264번길 74","-","중개거래","경기 시흥시"
"120","경기도 시흥시 배곧동","234","0234","0000","배곧헤리움 어반크로스 1차","21.6400","202507","17","9,000","17","개인","개인","2018","서울대학로264번길 74","-","중개거래","경기 시흥시"
"121","서울특별시 강남구 삼성동","158-10","0158","0010","마젤란21아스테리움","100.2100","202507","17","133,500","4","법인","개인","2006","테헤란로87길 17","-","중개거래","서울 강남구"
"122","경상남도 창원시 마산회원구 양덕동","163-17","0163","0017","대력베스트빌","26.9800","202507","17","4,300","8","개인","개인","2003","양덕동2길 17","-","중개거래","경남 창원시 마산회원구"
"123","부산광역시 동구 범일동","141-2","0141","0002","범일2차봄여름가을겨울","28.0400","202507","17","11,000","18","개인","개인","2019","중앙대로 487","-","중개거래","부산 동구"
"124","서울특별시 서초구 서초동","1316-17","1316","0017","벨라채 오피스텔","26.9700","202507","17","20,000","11","개인","개인","2003","강남대로61길 19","-","직거래","-"
"125","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","25.4100","202507","17","21,900","20","개인","법인","2015"," ","-","중개거래","경기 성남시 분당구"
"126","대전광역시 유성구 관평동","1342","1342","0000","DTVan 오피스텔","49.5300","202507","16","9,000","2","개인","개인","2011","테크노1로 12-22","-","중개거래","대전 유성구"
"127","충청남도 홍성군 홍북읍 신경리","895","0895","0000","빌앤더스오피스텔","23.2178","202507","16","5,200","7","개인","개인","2014","충남대로 36","-","중개거래","충남 홍성군"
"128","서울특별시 양천구 목동","907-23","0907","0023","현대파크빌","29.4000","202507","16","14,600","4","개인","개인","2003","목동동로 391","-","중개거래","서울 양천구"
"129","제주특별자치도 제주시 노형동","906-5","0906","0005","한신코아오피스텔","30.0000","202507","16","5,400","2","개인","개인","1991","도령로 54","-","직거래","-"
"130","인천광역시 연수구 송도동","316","0316","0000","힐스테이트 송도 더테라스","84.9868","202507","16","36,500","15","개인","개인","2020"," ","-","중개거래","인천 연수구"
"131","경기도 수원시 영통구 이의동","1352","1352","0000","에듀하임1309오피스텔","62.9900","202507","16","47,500","5","개인","개인","2014","에듀타운로 101","-","중개거래","경기 수원시 영통구"
"132","서울특별시 영등포구 여의도동","61-3","0061","0003","(61-3)","29.3000","202507","16","17,800","4","법인","개인","1991","63로 40","-","중개거래","서울 영등포구"
"133","서울특별시 영등포구 영등포동1가","107","0107","0000","여의도 포레디움","21.5800","202507","16","23,000","6","개인","개인","2021","경인로 892","-","직거래","-"
"134","광주광역시 서구 농성동","417-18","0417","0018","골든힐스타워","24.3800","202507","16","5,300","7","개인","개인","2015","죽봉대로78번길 10","-","중개거래","광주 서구"
"135","경기도 성남시 분당구 야탑동","360-1","0360","0001","시그마 3","40.7900","202507","16","25,300","15","개인","개인","2003","장미로 78","-","직거래","-"
"136","인천광역시 중구 운서동","2794-2","2794","0002","가나베스트텔2","39.0000","202507","16","4,500","5","개인","개인","2001","흰바위로 45","-","직거래","-"
"137","부산광역시 부산진구 전포동","881-5","0881","0005","더블루 오피스텔","38.6400","202507","16","7,400","7","개인","개인","2012","전포대로171번길 26","-","중개거래","부산 부산진구"
"138","경기도 화성시 병점동","376-11","0376","0011","병점역 써밋프라움","24.1200","202507","16","12,500","13","개인","개인","2020","경기대로 1011","-","중개거래","경기 화성시"
"139","서울특별시 동대문구 장안동","365-4","0365","0004","서희스타힐스","44.0900","202507","16","19,500","4","개인","개인","2013","장한로20길 7","-","직거래","-"
"140","강원특별자치도 원주시 무실동","1736-3","1736","0003","원주무실코아루허브288","27.3610","202507","16","9,000","5","개인","개인","2018","시청로 89-16","-","직거래","-"
"141","서울특별시 영등포구 당산동6가","336-4","0336","0004","유탑 유블레스2차","18.7809","202507","16","15,350","2","개인","개인","2012","당산로49길 11-4","-","중개거래","서울 영등포구"
"142","서울특별시 강서구 가양동","1479-9","1479","0009","휴먼빌","25.6400","202507","16","11,300","7","개인","개인","2004","양천로57길 9-13","20250718","중개거래","서울 강서구"
"143","서울특별시 노원구 상계동","1258","1258","0000","오피앙","23.3700","202507","16","9,700","8","개인","개인","2004","동일로 1701","-","중개거래","서울 노원구"
"144","서울특별시 용산구 원효로3가","277-13","0277","0013","용산 클라우드 나인 오피스텔","17.0764","202507","16","28,000","10","개인","법인","2021","원효로 109","-","중개거래","서울 용산구"
"145","서울특별시 마포구 공덕동","475","0475","0000","공덕푸르지오시티","27.7430","202507","16","24,900","8","개인","개인","2013","마포대로 156","-","중개거래","서울 마포구"
"146","경기도 하남시 덕풍동","735","0735","0000","빌리브하남","32.4132","202507","16","27,000","4","개인","개인","2021","덕풍서로 80","-","중개거래","경기 하남시"
"147","대전광역시 서구 탄방동","743","0743","0000","하이플러스","23.7300","202507","16","5,200","12","개인","개인","2005","둔산중로14번길 36","-","중개거래","대전 서구"
"148","서울특별시 금천구 독산동","1007-13","1007","0013","e편한세상 독산 더타워","26.2152","202507","16","18,000","26","개인","개인","2019","범안로 1212","-","중개거래","서울 금천구"
"149","부산광역시 해운대구 좌동","1460-2","1460","0002","해운대 쌍용 플래티넘트윈","32.8300","202507","16","7,450","17","개인","개인","2005","양운로 88","-","중개거래","부산 해운대구"
